seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,fertilizer_collected,unsold_units,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,v0,starter,12.0,3451.0,0,DONE,719,35.189,995,0.6663,0.4513,16,3,0,23,10,0,16.5872,0
0,1,starter,v0,3451.0,12.0,1,DONE,719,35.189,719,0.0682,0.0,18,0,0,0,0,0,0.2782,0
0,0,starter,v0,3451.0,12.0,1,DONE,719,36.219,719,0.0682,0.0,18,0,0,0,0,0,0.6563,0
0,1,v0,starter,12.0,3451.0,0,DONE,719,36.219,995,0.6663,0.4513,16,3,0,23,10,0,24.4171,0
1,0,v0,starter,442.0,4871.0,0,DONE,719,34.387,995,0.7558,0.4935,24,5,2,34,8,0,27.922,0
1,1,starter,v0,4871.0,442.0,1,DONE,719,34.387,719,0.0682,0.0,18,0,0,0,0,0,0.9693,0
1,0,starter,v0,4725.0,1410.0,1,DONE,719,35.48,719,0.0682,0.0,18,0,0,0,0,0,0.1621,0
1,1,v0,starter,1410.0,4725.0,0,DONE,719,35.48,995,0.7528,0.4864,42,14,6,18,8,0,32.8864,0
2,0,v0,starter,773.0,3716.0,0,DONE,719,29.232,995,0.7558,0.4905,27,5,2,34,8,0,17.6377,0
2,1,starter,v0,3716.0,773.0,1,DONE,719,29.232,719,0.0682,0.0,18,0,0,0,0,0,0.2025,0
2,0,starter,v0,3716.0,773.0,1,DONE,719,27.912,719,0.0682,0.0,18,0,0,0,0,0,0.1317,0
2,1,v0,starter,773.0,3716.0,0,DONE,719,27.912,995,0.7558,0.4905,27,5,2,34,8,0,15.3273,0
3,0,v0,starter,742.0,3539.0,0,DONE,719,25.973,995,0.7558,0.4905,27,5,2,34,8,0,14.8373,0
3,1,starter,v0,3539.0,742.0,1,DONE,719,25.973,719,0.0682,0.0,18,0,0,0,0,0,0.69,0
3,0,starter,v0,3539.0,742.0,1,DONE,719,31.758,719,0.0682,0.0,18,0,0,0,0,0,0.1697,0
3,1,v0,starter,742.0,3539.0,0,DONE,719,31.758,995,0.7558,0.4905,27,5,2,34,8,0,19.292,0
