seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
9,0,P2,P0,47535.0,47466.0,1,DONE,719,45.526,4853,0.9468,0.5768,646,104,90,23666,5947,0,38,5,156,19,1,0,2,1,3,22.4381,0
9,1,P0,P2,47466.0,47535.0,0,DONE,719,45.526,4853,0.9468,0.5768,646,104,90,23666,5873,0,42,5,156,19,1,0,2,1,3,33.5491,0
9,0,P0,P2,47466.0,47535.0,0,DONE,719,49.146,4853,0.9468,0.5768,646,104,90,23666,5873,0,42,5,156,19,1,0,2,1,3,33.6775,0
9,1,P2,P0,47535.0,47466.0,1,DONE,719,49.146,4853,0.9468,0.5768,646,104,90,23666,5947,0,38,5,156,19,1,0,2,1,3,18.3777,0
10,0,P2,P0,29496.0,28609.0,1,DONE,719,50.541,4853,0.9468,0.5768,646,104,90,6018,5947,0,38,5,156,19,1,0,2,1,4,19.5639,0
10,1,P0,P2,28609.0,29496.0,0,DONE,719,50.541,4853,0.9468,0.5768,646,104,90,5791,5873,6,42,5,156,19,1,0,2,1,24,35.7852,0
10,0,P0,P2,28609.0,29496.0,0,DONE,719,57.392,4853,0.9468,0.5768,646,104,90,5791,5873,6,42,5,156,19,1,0,2,1,24,34.1861,0
10,1,P2,P0,29496.0,28609.0,1,DONE,719,57.392,4853,0.9468,0.5768,646,104,90,6018,5947,0,38,5,156,19,1,0,2,1,4,35.7703,0
11,0,P2,P0,58257.0,58257.0,0,DONE,719,50.16,4853,0.9472,0.578,640,102,90,22735,18185,0,0,5,155,10,0,0,2,1,3,31.7759,0
11,1,P0,P2,58257.0,58257.0,0,DONE,719,50.16,4853,0.9472,0.578,640,102,90,22735,18185,0,0,5,155,10,0,0,2,1,3,41.9124,0
11,0,P0,P2,58257.0,58257.0,0,DONE,719,58.931,4853,0.9472,0.578,640,102,90,22735,18185,0,0,5,155,10,0,0,2,1,3,29.6184,0
11,1,P2,P0,58257.0,58257.0,0,DONE,719,58.931,4853,0.9472,0.578,640,102,90,22735,18185,0,0,5,155,10,0,0,2,1,3,33.357,0
12,0,P2,P0,34260.0,34289.0,0,DONE,719,50.065,4853,0.9468,0.5772,641,103,90,11534,5947,0,38,5,156,14,0,0,2,1,3,20.8871,0
12,1,P0,P2,34289.0,34260.0,1,DONE,719,50.065,4853,0.9468,0.5768,638,104,90,11759,5873,0,42,5,156,19,1,0,2,1,3,25.718,0
12,0,P0,P2,34191.0,34358.0,0,DONE,719,52.06,4853,0.9468,0.5772,641,103,90,11534,5873,0,42,5,156,14,0,0,2,1,3,21.0093,0
12,1,P2,P0,34358.0,34191.0,1,DONE,719,52.06,4853,0.9468,0.5768,638,104,90,11759,5947,0,38,5,156,19,1,0,2,1,3,20.7288,0
13,0,P2,P0,49697.0,49628.0,1,DONE,719,50.167,4853,0.9466,0.5763,646,104,90,27213,5947,0,38,5,156,19,1,0,2,1,3,23.1865,0
13,1,P0,P2,49628.0,49697.0,0,DONE,719,50.167,4853,0.9468,0.5768,646,104,90,27213,5873,0,42,5,156,19,1,0,2,1,3,23.9043,0
13,0,P0,P2,49628.0,49697.0,0,DONE,719,45.439,4853,0.9466,0.5763,646,104,90,27213,5873,0,42,5,156,19,1,0,2,1,3,17.0994,0
13,1,P2,P0,49697.0,49628.0,1,DONE,719,45.439,4853,0.9468,0.5768,646,104,90,27213,5947,0,38,5,156,19,1,0,2,1,3,18.4833,0
14,0,P2,P0,40492.0,40493.0,0,DONE,719,41.55,4853,0.9472,0.578,640,102,90,17243,7581,0,18,5,155,10,0,0,2,1,3,13.0612,0
14,1,P0,P2,40493.0,40492.0,1,DONE,719,41.55,4853,0.9472,0.578,640,102,90,17243,7577,0,19,5,155,10,0,0,2,1,3,10.9991,0
14,0,P0,P2,40493.0,40492.0,1,DONE,719,43.42,4853,0.9472,0.578,640,102,90,17243,7577,0,19,5,155,10,0,0,2,1,3,27.7923,0
14,1,P2,P0,40492.0,40493.0,0,DONE,719,43.42,4853,0.9472,0.578,640,102,90,17243,7581,0,18,5,155,10,0,0,2,1,3,19.1417,0
15,0,P2,P0,46572.0,46503.0,1,DONE,719,35.248,4853,0.9468,0.5768,646,104,90,22373,5947,0,38,5,156,19,1,0,2,1,3,13.8509,0
15,1,P0,P2,46503.0,46572.0,0,DONE,719,35.248,4853,0.9468,0.5768,646,104,90,22373,5873,0,42,5,156,19,1,0,2,1,3,10.6258,0
15,0,P0,P2,46503.0,46572.0,0,DONE,719,40.359,4853,0.9468,0.5768,646,104,90,22373,5873,0,42,5,156,19,1,0,2,1,3,14.303,0
