seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,P1,P0,46331.0,45910.0,1,DONE,719,47.039,4853,0.946,0.5741,647,104,90,13096,18185,0,0,5,157,20,0,0,2,1,3,13.8075,0
0,1,P0,P1,45910.0,46331.0,0,DONE,719,47.039,4853,0.9472,0.578,640,102,90,12895,18185,0,0,5,155,10,0,0,2,1,3,19.3277,0
0,0,P0,P1,45910.0,46331.0,0,DONE,719,49.652,4853,0.9472,0.578,640,102,90,12895,18185,0,0,5,155,10,0,0,2,1,3,23.8611,0
0,1,P1,P0,46331.0,45910.0,1,DONE,719,49.652,4853,0.946,0.5741,647,104,90,13096,18185,0,0,5,157,20,0,0,2,1,3,31.607,0
1,0,P1,P0,49670.0,48952.0,1,DONE,719,50.166,4853,0.9464,0.5745,647,104,90,24204,7702,0,20,5,157,20,0,0,2,1,3,30.2976,0
1,1,P0,P1,48952.0,49670.0,0,DONE,719,50.166,4853,0.9472,0.578,640,102,90,23887,7702,0,20,5,155,10,0,0,2,1,3,17.3701,0
1,0,P0,P1,48952.0,49670.0,0,DONE,719,53.296,4853,0.9472,0.578,640,102,90,23887,7702,0,20,5,155,10,0,0,2,1,3,27.9327,0
1,1,P1,P0,49670.0,48952.0,1,DONE,719,53.296,4853,0.9464,0.5745,647,104,90,24204,7702,0,20,5,157,20,0,0,2,1,3,23.9533,0
2,0,P1,P0,41813.0,41568.0,1,DONE,719,46.225,4853,0.946,0.5739,647,104,90,5843,21985,3,0,5,157,34,0,0,2,1,3,19.3795,0
2,1,P0,P1,41568.0,41813.0,0,DONE,719,46.225,4853,0.9472,0.578,640,102,90,5815,21985,3,0,5,155,10,0,0,2,1,3,15.2972,0
2,0,P0,P1,41764.0,41827.0,0,DONE,719,43.713,4853,0.9468,0.5782,640,102,90,5815,21985,3,0,5,155,34,0,0,2,1,3,23.9675,0
2,1,P1,P0,41827.0,41764.0,1,DONE,719,43.713,4853,0.946,0.5741,647,104,90,5843,21985,3,0,5,157,20,0,0,2,1,3,13.146,0
3,0,P1,P0,52789.0,52199.0,1,DONE,719,43.433,4853,0.946,0.5741,647,104,90,14815,21135,0,0,5,157,20,0,0,2,1,3,25.5167,0
3,1,P0,P1,52199.0,52789.0,0,DONE,719,43.433,4853,0.9472,0.578,640,102,90,14550,21135,0,0,5,155,10,0,0,2,1,3,14.3911,0
3,0,P0,P1,52199.0,52789.0,0,DONE,719,43.251,4853,0.9472,0.578,640,102,90,14550,21135,0,0,5,155,10,0,0,2,1,3,14.1981,0
3,1,P1,P0,52789.0,52199.0,1,DONE,719,43.251,4853,0.946,0.5741,647,104,90,14815,21135,0,0,5,157,20,0,0,2,1,3,13.0702,0
