seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,milk_harvested,wool_harvested,milk_revenue,wool_revenue,milk_floor,wool_floor,animal_count,fertilizer_collected,unsold_units,unsold_milk,unsold_wool,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,P1,P0,46331.0,45910.0,1,DONE,719,38.728,4853,0.946,0.5741,647,104,90,13096,18185,0,0,5,157,20,0,0,2,1,3,20.5729,0
0,1,P0,P1,45910.0,46331.0,0,DONE,719,38.728,4853,0.9472,0.578,640,102,90,12895,18185,0,0,5,155,10,0,0,2,1,3,21.1796,0
0,0,P0,P1,45910.0,46331.0,0,DONE,719,39.057,4853,0.9472,0.578,640,102,90,12895,18185,0,0,5,155,10,0,0,2,1,3,14.956,0
0,1,P1,P0,46331.0,45910.0,1,DONE,719,39.057,4853,0.946,0.5741,647,104,90,13096,18185,0,0,5,157,20,0,0,2,1,3,14.3674,0
1,0,P1,P0,49670.0,48952.0,1,DONE,719,39.676,4853,0.9464,0.5745,647,104,90,24204,7702,0,20,5,157,20,0,0,2,1,3,26.6902,0
1,1,P0,P1,48952.0,49670.0,0,DONE,719,39.676,4853,0.9472,0.578,640,102,90,23887,7702,0,20,5,155,10,0,0,2,1,3,13.7043,0
1,0,P0,P1,48952.0,49670.0,0,DONE,719,39.038,4853,0.9472,0.578,640,102,90,23887,7702,0,20,5,155,10,0,0,2,1,3,16.0986,0
1,1,P1,P0,49670.0,48952.0,1,DONE,719,39.038,4853,0.9464,0.5745,647,104,90,24204,7702,0,20,5,157,20,0,0,2,1,3,20.6685,0
2,0,P1,P0,41813.0,41568.0,1,DONE,719,33.6,4853,0.946,0.5739,647,104,90,5843,21985,3,0,5,157,34,0,0,2,1,3,12.6873,0
2,1,P0,P1,41568.0,41813.0,0,DONE,719,33.6,4853,0.9472,0.578,640,102,90,5815,21985,3,0,5,155,10,0,0,2,1,3,15.2857,0
2,0,P0,P1,41764.0,41827.0,0,DONE,719,44.249,4853,0.9468,0.5782,640,102,90,5815,21985,3,0,5,155,34,0,0,2,1,3,22.2805,0
2,1,P1,P0,41827.0,41764.0,1,DONE,719,44.249,4853,0.946,0.5741,647,104,90,5843,21985,3,0,5,157,20,0,0,2,1,3,17.4893,0
3,0,P1,P0,52789.0,52199.0,1,DONE,719,35.218,4853,0.946,0.5741,647,104,90,14815,21135,0,0,5,157,20,0,0,2,1,3,18.1067,0
3,1,P0,P1,52199.0,52789.0,0,DONE,719,35.218,4853,0.9472,0.578,640,102,90,14550,21135,0,0,5,155,10,0,0,2,1,3,16.1343,0
3,0,P0,P1,52199.0,52789.0,0,DONE,719,47.491,4853,0.9472,0.578,640,102,90,14550,21135,0,0,5,155,10,0,0,2,1,3,24.4836,0
3,1,P1,P0,52789.0,52199.0,1,DONE,719,47.491,4853,0.946,0.5741,647,104,90,14815,21135,0,0,5,157,20,0,0,2,1,3,22.8333,0
4,0,P1,P0,45816.0,45920.0,0,DONE,719,47.231,4853,0.9464,0.5757,647,104,90,23545,6069,0,36,5,156,12,1,0,2,1,3,27.5595,0
4,1,P0,P1,45920.0,45816.0,1,DONE,719,47.231,4853,0.9466,0.5763,646,104,90,23545,6069,0,36,5,156,19,1,0,2,1,3,15.6108,0
4,0,P0,P1,45920.0,45816.0,1,DONE,719,48.903,4853,0.9468,0.5768,646,104,90,23545,6069,0,36,5,156,19,1,0,2,1,3,29.4391,0
4,1,P1,P0,45816.0,45920.0,0,DONE,719,48.903,4853,0.9462,0.5753,647,104,90,23545,6069,0,36,5,156,12,1,0,2,1,3,41.7855,0
5,0,P1,P0,36552.0,35973.0,1,DONE,719,48.965,4853,0.9464,0.5745,647,104,90,10618,9082,0,7,5,157,20,0,0,2,1,3,27.5521,0
5,1,P0,P1,35973.0,36552.0,0,DONE,719,48.965,4853,0.9472,0.578,640,102,90,10404,9082,0,7,5,155,10,0,0,2,1,3,31.4796,0
5,0,P0,P1,35973.0,36552.0,0,DONE,719,42.98,4853,0.9472,0.578,640,102,90,10404,9082,0,7,5,155,10,0,0,2,1,3,25.3375,0
5,1,P1,P0,36552.0,35973.0,1,DONE,719,42.98,4853,0.9464,0.5745,647,104,90,10618,9082,0,7,5,157,20,0,0,2,1,3,34.4379,0
6,0,P1,P0,42006.0,42076.0,0,DONE,719,35.974,4853,0.9464,0.5757,647,104,90,21916,6069,0,36,5,156,12,1,0,2,1,3,15.402,0
6,1,P0,P1,42076.0,42006.0,1,DONE,719,35.974,4853,0.9468,0.5768,646,104,90,21915,6069,0,36,5,156,19,1,0,2,1,3,19.3659,0
6,0,P0,P1,42076.0,42006.0,1,DONE,719,39.908,4853,0.9468,0.5768,646,104,90,21915,6069,0,36,5,156,19,1,0,2,1,3,30.9989,0
6,1,P1,P0,42006.0,42076.0,0,DONE,719,39.908,4853,0.9464,0.5757,647,104,90,21916,6069,0,36,5,156,12,1,0,2,1,3,26.5883,0
7,0,P1,P0,54812.0,54352.0,1,DONE,719,26.365,4853,0.946,0.5741,647,104,90,20180,20137,0,0,5,157,20,0,0,2,1,3,10.5099,0
7,1,P0,P1,54352.0,54812.0,0,DONE,719,26.365,4853,0.9472,0.578,640,102,90,19954,20137,0,0,5,155,10,0,0,2,1,3,7.6539,0
7,0,P0,P1,54352.0,54812.0,0,DONE,719,25.845,4853,0.9472,0.578,640,102,90,19954,20137,0,0,5,155,10,0,0,2,1,3,6.202,0
7,1,P1,P0,54812.0,54352.0,1,DONE,719,25.845,4853,0.946,0.5741,647,104,90,20180,20137,0,0,5,157,20,0,0,2,1,3,6.2201,0
8,0,P1,P0,45962.0,45527.0,1,DONE,719,25.935,4853,0.946,0.5741,647,104,90,13096,18258,0,0,5,157,20,0,0,2,1,3,5.9945,0
8,1,P0,P1,45527.0,45962.0,0,DONE,719,25.935,4853,0.9472,0.578,640,102,90,12895,18258,0,0,5,155,10,0,0,2,1,3,7.2569,0
8,0,P0,P1,45527.0,45962.0,0,DONE,719,24.88,4853,0.9472,0.578,640,102,90,12895,18258,0,0,5,155,10,0,0,2,1,3,6.9412,0
8,1,P1,P0,45962.0,45527.0,1,DONE,719,24.88,4853,0.946,0.5741,647,104,90,13096,18258,0,0,5,157,20,0,0,2,1,3,6.2179,0
9,0,P1,P0,47425.0,47567.0,0,DONE,719,25.198,4853,0.9464,0.5757,647,104,90,23667,6069,0,36,5,156,12,1,0,2,1,3,5.3387,0
9,1,P0,P1,47567.0,47425.0,1,DONE,719,25.198,4853,0.9468,0.5768,646,104,90,23666,6069,0,36,5,156,19,1,0,2,1,3,5.4472,0
9,0,P0,P1,47567.0,47425.0,1,DONE,719,26.17,4853,0.9468,0.5768,646,104,90,23666,6069,0,36,5,156,19,1,0,2,1,3,7.7711,0
9,1,P1,P0,47425.0,47567.0,0,DONE,719,26.17,4853,0.9464,0.5757,647,104,90,23667,6069,0,36,5,156,12,1,0,2,1,3,6.584,0
10,0,P1,P0,29201.0,29341.0,0,DONE,719,28.703,4853,0.9464,0.5757,647,104,90,6379,6069,0,36,5,156,12,1,0,2,1,9,9.4393,0
10,1,P0,P1,29341.0,29201.0,1,DONE,719,28.703,4853,0.9468,0.5768,646,104,90,6379,6069,0,36,5,156,19,1,0,2,1,9,10.3799,0
10,0,P0,P1,29341.0,29201.0,1,DONE,719,31.291,4853,0.9468,0.5768,646,104,90,6379,6069,0,36,5,156,19,1,0,2,1,9,10.6668,0
10,1,P1,P0,29201.0,29341.0,0,DONE,719,31.291,4853,0.9464,0.5757,647,104,90,6379,6069,0,36,5,156,12,1,0,2,1,9,9.8254,0
11,0,P1,P0,58890.0,58259.0,1,DONE,719,36.354,4853,0.946,0.5741,647,104,90,22987,18185,0,0,5,157,20,0,0,2,1,3,16.8698,0
11,1,P0,P1,58259.0,58890.0,0,DONE,719,36.354,4853,0.9472,0.578,640,102,90,22735,18185,0,0,5,155,10,0,0,2,1,3,12.4248,0
11,0,P0,P1,58259.0,58890.0,0,DONE,719,36.736,4853,0.9472,0.578,640,102,90,22735,18185,0,0,5,155,10,0,0,2,1,3,15.206,0
11,1,P1,P0,58890.0,58259.0,1,DONE,719,36.736,4853,0.946,0.5741,647,104,90,22987,18185,0,0,5,157,20,0,0,2,1,3,15.5686,0
12,0,P1,P0,34296.0,34386.0,0,DONE,719,34.99,4853,0.9462,0.5759,642,103,90,11534,6069,0,36,5,156,11,0,0,2,1,3,13.3638,0
12,1,P0,P1,34386.0,34296.0,1,DONE,719,34.99,4853,0.9468,0.5768,638,104,90,11759,6069,0,36,5,156,19,1,0,2,1,3,12.1708,0
12,0,P0,P1,34294.0,34343.0,0,DONE,719,30.612,4853,0.9468,0.5772,641,103,90,11535,6069,0,36,5,156,14,0,0,2,1,3,10.9022,0
12,1,P1,P0,34343.0,34294.0,1,DONE,719,30.612,4853,0.9452,0.5753,634,104,90,11536,6069,0,36,5,158,13,0,0,2,1,3,8.6318,0
13,0,P1,P0,49607.0,49731.0,0,DONE,719,35.851,4853,0.9462,0.5753,647,104,90,27214,6069,0,36,5,156,12,1,0,2,1,3,15.3258,0
13,1,P0,P1,49731.0,49607.0,1,DONE,719,35.851,4853,0.9468,0.5768,646,104,90,27213,6069,0,36,5,156,19,1,0,2,1,3,12.0469,0
13,0,P0,P1,49731.0,49607.0,1,DONE,719,30.721,4853,0.9466,0.5763,646,104,90,27213,6069,0,36,5,156,19,1,0,2,1,3,13.8271,0
13,1,P1,P0,49607.0,49731.0,0,DONE,719,30.721,4853,0.9464,0.5757,647,104,90,27214,6069,0,36,5,156,12,1,0,2,1,3,11.9791,0
14,0,P1,P0,41142.0,40651.0,1,DONE,719,42.837,4853,0.9464,0.5745,647,104,90,17376,7702,0,20,5,157,20,0,0,2,1,3,20.6911,0
14,1,P0,P1,40651.0,41142.0,0,DONE,719,42.837,4853,0.9472,0.578,640,102,90,17243,7702,0,20,5,155,10,0,0,2,1,3,26.5609,0
14,0,P0,P1,40651.0,41142.0,0,DONE,719,38.327,4853,0.9472,0.578,640,102,90,17243,7702,0,20,5,155,10,0,0,2,1,3,25.8276,0
14,1,P1,P0,41142.0,40651.0,1,DONE,719,38.327,4853,0.9464,0.5745,647,104,90,17376,7702,0,20,5,157,20,0,0,2,1,3,18.952,0
15,0,P1,P0,46446.0,46600.0,0,DONE,719,49.786,4853,0.9464,0.5757,647,104,90,22374,6069,0,36,5,156,12,1,0,2,1,3,20.283,0
15,1,P0,P1,46600.0,46446.0,1,DONE,719,49.786,4853,0.9468,0.5768,646,104,90,22373,6069,0,36,5,156,19,1,0,2,1,3,13.4059,0
