seed,seat,agent,opponent,money,opp_money,won,status,turns,wall_s,unit_turns,effective_rate,move_share,harvested_units,fertilizer_collected,unsold_units,drought_deaths,animals_escaped,shed_overflow,latency_p99_ms,n_errors
0,0,starter,pass,3421.0,3000.0,1,DONE,719,27.484,719,0.0682,0.0,18,0,0,0,0,0,0.8146,0
0,1,pass,starter,3000.0,3421.0,0,DONE,719,27.484,719,0.0,0.0,0,0,0,0,0,0,0.1514,0
0,0,pass,starter,3000.0,3421.0,0,DONE,719,20.659,719,0.0,0.0,0,0,0,0,0,0,0.0149,0
0,1,starter,pass,3421.0,3000.0,1,DONE,719,20.659,719,0.0682,0.0,18,0,0,0,0,0,0.3192,0
1,0,starter,pass,3506.0,3000.0,1,DONE,719,8.82,719,0.0682,0.0,18,0,0,0,0,0,0.0635,0
1,1,pass,starter,3000.0,3506.0,0,DONE,719,8.82,719,0.0,0.0,0,0,0,0,0,0,0.0092,0
1,0,pass,starter,3000.0,3506.0,0,DONE,719,9.703,719,0.0,0.0,0,0,0,0,0,0,0.0106,0
1,1,starter,pass,3506.0,3000.0,1,DONE,719,9.703,719,0.0682,0.0,18,0,0,0,0,0,0.0554,0
2,0,starter,pass,3798.0,3000.0,1,DONE,719,4.874,719,0.0682,0.0,18,0,0,0,0,0,0.0438,0
2,1,pass,starter,3000.0,3798.0,0,DONE,719,4.874,719,0.0,0.0,0,0,0,0,0,0,0.0061,0
2,0,pass,starter,3000.0,3798.0,0,DONE,719,5.613,719,0.0,0.0,0,0,0,0,0,0,0.0071,0
2,1,starter,pass,3798.0,3000.0,1,DONE,719,5.613,719,0.0682,0.0,18,0,0,0,0,0,0.0604,0
